ISO;pais;desenvolvido;ano;unemployment;ppp;ppp_2011;gdp_npc;gross_fixed;share_manuf_gdp;sahre_ind_gdp;share_ind_emplo;export_devel;export_industrial;export_manuf;import_devel;import_industrial;import_manuf;exp_imp_manuf;exp_imp_ind;exp_imp_dev;l_ppp;l_ppp_2011;l2_ppp;l2_ppp_2011;r_exp_imp_manuf;r_export_manuf;r_import_manuf
LVA;Latvia;1;2000;14,342;8888,26;11213,66;21169000000;25,2228;13,7322;23,7439;26,758;61958032;1638762616;1037001296;75568215;2562009510;1037001296;2074002592;4200772126;137526247;9,0925;9,3249;82,6733;86,9535;0,098;0,049;0,049
LVA;Latvia;1;2005;10,05;15672,61;17601,95;35259000000;31,271;11,5268;20,334;26,476;153789765;4434985189;2939162037;340490756;6859973763;2939162037;5878324074;11294958952;494280521;9,6597;9,7758;93,3092;95,5656;0,1667;0,0834;0,0834
LVA;Latvia;1;2010;19,467;17856,42;18225,03;37865000000;19,3908;12,0215;20,7915;23,074;644153568;6836257065;5095984230;537619111;8758402230;5095984230;10191968460;15594659295;1181772679;9,7901;9,8106;95,8464;96,2469;0,2692;0,1346;0,1346
LVA;Latvia;1;2015;9,877;24636,77;23136,08;48931000000;22,1398;10,518;19,5523;23,645;1121400458;8926249402;6754675740;935711483;11232493113;6754675740;13509351480;20158742515;2057111941;10,112;10,0491;102,2524;100,9854;0,2761;0,138;0,138
LBN;Lebanon;0;1995;;8352,46;11455,84;25336000000;36,4551;12,5024;22,2343;22,742;394078000;207536000;447992000;1835156574;5191408484;447992000;895984000;5398944484;2229234574;9,0303;9,3463;81,5465;87,3525;0,0354;0,0177;0,0177
LBN;Lebanon;0;2000;;10169,85;12830,55;32903000000;21,0261;11,4143;19,9654;20,796;419258958;288640080;419583431;1904287449;4006470617;419583431;839166862;4295110697;2323546407;9,2272;9,4596;85,1409;89,4837;0,0255;0,0128;0,0128
LBN;Lebanon;0;2005;;11032,07;12390,15;43983000000;22,7198;7,2232;14,3872;18,777;1722852601;574499859;1482456573;3127494082;5604696785;1482456573;2964913146;6179196644;4850346683;9,3086;9,4247;86,6493;88,8242;0,0674;0,0337;0,0337
LBN;Lebanon;0;2010;;16104,34;16436,79;69910000000;25,2082;7,6111;14,0735;19,199;3603188428;1343830561;2861736520;6761359533;9858592991;2861736520;5723473040;11202423552;10364547961;9,6868;9,7073;93,8349;94,2312;0,0819;0,0409;0,0409
LBN;Lebanon;0;2015;;18802,99;17657,65;83201000000;21,3628;8,3261;15,3818;21,879;3280079072;678725807;2127149203;7124651452;9931371005;2127149203;4254298406;10610096812;10404730524;9,8418;9,7789;96,8605;95,6274;0,0511;0,0256;0,0256
LBY;Libya;0;1995;;18587,56;25493,81;88291000000;11,6573;;;24,939;1228632429;8023792914;699351251;1355492718;3666242588;699351251;1398702502;11690035502;2584125147;9,8302;10,1462;96,6338;102,9452;0,0158;0,0079;0,0079
LBY;Libya;0;2000;;19614,26;24745,88;1,02E+11;11,6366;;;26,474;1683962232;11003156848;760706887;1077651347;2623808815;760706887;1521413774;13626965663;2761613579;9,884;10,1164;97,6937;102,3418;0,015;0,0075;0,0075
LBY;Libya;0;2005;;26236,1;29465,82;1,47E+11;15,1679;5,0567;80,9743;28,26;4275447108;27080488217;1154542433;2154459051;3751653929;1154542433;2309084866;30832142146;6429906159;10,1749;10,291;103,5284;105,9044;0,0157;0,0079;0,0079
LBY;Libya;0;2010;;31094,03;31735,91;1,88E+11;;;;31,639;7691908671;40800203488;1239798095;8157465008;8917898947;1239798095;2479596190;49718102435;15849373679;10,3448;10,3652;107,0143;107,4375;0,0132;0,0066;0,0066
LBY;Libya;0;2015;;6246,31;5865,83;39486000000;;;;28,792;2322836917;7835235597;519629403;6895162745;5580422216;519629403;1039258806;13415657813;9217999662;8,7397;8,6769;76,3832;75,2886;0,0263;0,0132;0,0132
LTU;Lithuania;1;1995;;6786,1;9307,49;24627000000;20,3648;16,725;28,1544;29,433;66575195;1465621659;1561428290;81293020;1974686269;1561428290;3122856580;3440307928;147868215;8,8226;9,1386;77,8388;83,5135;0,1268;0,0634;0,0634
LTU;Lithuania;1;2000;16,375;9618,82;12135,36;33661000000;19,1252;16,761;26,3026;26,777;122736447;3063409897;2286514520;327943816;3316126565;2286514520;4573029040;6379536462;450680263;9,1715;9,4039;84,116;88,4329;0,1359;0,0679;0,0679
LTU;Lithuania;1;2005;8,324;16422,14;18443,75;54563000000;23,3849;18,2456;29,6083;29,06;731730116;9027264745;6693387048;978069094;9851860566;6693387048;13386774096;18879125311;1709799210;9,7064;9,8225;94,2139;96,4811;0,2453;0,1227;0,1227
LTU;Lithuania;1;2010;17,814;20551,71;20975,96;63654000000;16,863;16,8866;26,1435;24,56;787079736;14387120940;11231537709;1280990637;13693663327;11231537709;22463075418;28080784267;2068070373;9,9307;9,9511;98,6188;99,025;0,3529;0,1764;0,1764
LTU;Lithuania;1;2015;9,119;28670,64;26924,23;83286000000;19,5722;17,358;26,7329;25,073;1371840669;17805740844;15021918504;1855533203;19973122956;15021918504;30043837008;37778863800;3227373872;10,2636;10,2008;105,3421;104,056;0,3607;0,1804;0,1804
